Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State 1,Pin State 2,Pin State 3,Pin State 4,Debug 0,Debug 1,Debug 2,Debug 3,App message,
0.23186250000027936,1000,,,,-0.07783203125,0.0341796875,-0.96708984375,0.0007889977474210651,-0.0006932156130826872,24.086301795657455,1.9264999322967675,0,0,46.40224274001493,0,0,0,0,0.23981377234048112,-0.5608918002809962,-0.4991327206151894,0.06904296875,1.9103694184660587,0.1,1,1,1,0,0,0,0,,
0.2388222499998752,1000,,,,-0.0619140625,0.0283203125,-0.96318359375,0.0004873307592033587,-0.00034285360867208903,24.084948635205397,1.9989088385574814,0,0,48.143600116960165,0,0,0,0,0.24076219442502705,-0.5594460584819669,-0.4987823586107787,0.15751953125,1.9234422814668775,0.05,1,1,1,0,0,0,0,,
0.7383297499996612,1000,,,,-0.06904296875,0.03017578125,-0.97509765625,0.0004370198374917389,-0.000971678904656162,24.084430402031067,2.055827746818937,0,0,49.51341736301246,0,0,0,0,0.2410586263758802,-0.5593855706464363,-0.49941118390676287,0.20068359375,1.939265203903188,0.05,1,1,1,0,0,0,0,,
1.2384177499999294,1000,,,,-0.0625,0.0294921875,-0.96669921875,0.0006286321388694902,-0.0012257627457368497,24.086114732995817,1.9553686216707444,0,0,47.09720851612468,0,0,0,0,0.2395079442303098,-0.5590650057754109,-0.4996652677478434,0.17978515625,1.9467067367468676,0.1,1,1,1,0,0,0,0,,
1.7383737499997953,1000,,,,-0.0625,0.0291015625,-0.96669921875,0.0006180686507247597,-0.0008790464772037932,24.086890281422164,1.909916779146657,0,0,46.00395624269495,0,0,0,0,0.23947176162073824,-0.5589237203941739,-0.4993185514793105,0.11396484375,1.94105743904712,0.05,1,1,1,0,0,0,0,,
2.2390637499997856,1000,,,,-0.0625,0.029296875,-0.96708984375,0.0007161190917056954,-0.0009739101830382041,24.08693286494861,1.907371901647616,0,0,45.94273905094071,0,0,0,0,0.23895150722867542,-0.559116672039568,-0.4994134151851449,0.0837890625,1.9361556069645736,0.05,1,1,1,0,0,0,0,,
2.790433999999799,1000,,,,-0.0625,0.02900390625,-0.96650390625,0.0005634334090217097,-0.0006033847481432015,24.08670505769759,1.9093322520860194,0,0,45.98952300941437,0,0,0,0,0.24003416446366455,-0.5591722262247735,-0.4990428897502498,0.069140625,1.931873298570102,0.05,1,1,1,0,0,0,0,,
3.336615999999689,1000,,,,-0.0625,0.02890625,-0.9669921875,0.0005734365896190262,-0.0004724261231974336,24.086949989778432,1.9087849040426896,0,0,45.97680571861757,0,0,0,0,0.24004890462401005,-0.5592805112465783,-0.4989119311253039,0.06259765625,1.9281361114077142,0.05,1,1,1,0,0,0,0,,
3.891188249999657,1000,,,,-0.0625,0.02900390625,-0.96728515625,0.0005783694946528354,-0.0003900067026219339,24.08662355939249,1.909506212544494,0,0,45.993556645401426,0,0,0,0,0.23987536556500394,-0.5590976922593496,-0.49882951170472856,0.0599609375,1.9251842502985859,0.05,1,1,1,0,0,0,0,,
4.486218499999679,1000,,,,-0.0625,0.02958984375,-0.9662109375,0.0006998507412578441,0.0004364233521618521,24.0865758439633,1.911426817230197,0,0,46.03972711134352,0,0,0,0,0.2394906232537311,-0.5596762173168057,-0.4980030816499449,0.05859375,1.9228274336946611,0.1,1,1,1,0,0,0,0,,
