Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Vibration (g),App message,
0.3672964999996591,1000,,,,-0.000390625,0.01640625,-0.96474609375,-0.0007175928199873222,-1.009211166574228,16.01256040379836,2.0245202604706267,0,0,32.417755709915404,0,0,0,0,0.05859375,,
0.3628509999997914,1000,,,,0,0.015625,-0.96455078125,-0.0006491532064776295,-1.4475098538634203,16.012822235190576,2.022581749063675,0,0,32.38724404460244,0,0,0,0,0.05859375,,
0.9942509999995119,1000,,,,0,0.01552734375,-0.96494140625,-0.0007438899557923649,-1.8452261132326573,16.01231354085294,2.0226874021067847,0,0,32.3879046138758,0,0,0,0,0.05859375,,
1.7989009999996053,1000,,,,0,0.016015625,-0.96455078125,-0.0008413715804245148,-1.7034174459309541,16.01253376340557,2.0269177835438894,0,0,32.45608856935924,0,0,0,0,0.05859375,,
2.8983522499998564,1000,,,,0,0.01630859375,-0.9646484375,-0.0008903117429844417,-1.6776875173680181,16.01288014817074,2.025242127474315,0,0,32.42995838670613,0,0,0,0,0.05859375,,
3.539002249999578,1000,,,,0,0.01591796875,-0.96484375,-0.0009266395642478319,-1.7675991654943588,16.012608015905247,2.02692911463041,0,0,32.45642180542974,0,0,0,0,0.05859375,,
4.58065149999964,1000,,,,0,0.0162109375,-0.96416015625,-0.0008025903756827409,-1.176332003929888,16.01312923370142,2.022735284746529,0,0,32.390322217658536,0,0,0,0,0.05859375,,
5.416851749999589,1000,,,,0,0.01611328125,-0.96474609375,-0.0007015503570594948,-0.6328797177029997,16.012418358313568,2.025097268761275,0,0,32.426704631151196,0,0,0,0,0.05859375,,
6.167051499999733,1000,,,,0,0.0158203125,-0.96455078125,-0.0009142035586471118,-0.5769878864748522,16.012481811839933,2.024410833232067,0,0,32.41584156662241,0,0,0,0,0.05859375,,
7.247302499999572,1000,,,,0,0.0158203125,-0.96435546875,-0.000851852810873141,-1.3332765862098028,16.011869123047457,2.024144853893623,0,0,32.410341720067514,0,0,0,0,0.05859375,,
7.928901999999722,1004.6000166666636,,,,0,0.01572265625,-0.964453125,-0.0008076514634572804,-1.3266340494637001,16.012869720712075,2.0237327932921554,0,0,32.405769750606346,0,0,0,0,0.05859375,,
9.338901499999547,1048.836674999997,,,,-0.005859375,0.023828125,-0.9701171875,-0.00047083515420108047,-0.3832640571274393,16.01182708706252,2.0633977841981705,0,0,33.038769769581826,0,0,0,0,0.065625,,
10.118001999999581,1075.7916833333275,,,,-0.01025390625,0.0310546875,-0.97587890625,-0.0000306269295389004,2.6762403514182584,16.01049446293125,2.106880185227922,0,0,33.732183672274424,0,0,0,0,0.0810546875,,
10.864350999999653,1100.0350083333306,,,,-0.01171875,0.02958984375,-0.976171875,0.0007265852599969622,7.480331176116556,16.0096433396838,2.170349726539448,0,0,34.74652355237866,0,0,0,0,0.09912109375,,
12.577252249999809,1156.9650249999968,,,,-0.0072265625,0.0392578125,-0.9609375,0.002369362799274177,21.0402309899497,16.00545098920778,2.3899537963658735,0,0,38.252194464118574,0,0,0,0,0.30380859375,,
13.44015124999955,1186.6550249999955,,,,-0.0166015625,0.03271484375,-0.97890625,0.004698634843168828,40.02931203327034,16.0014092904953,2.5841435512138817,0,0,41.34989920352039,0,0,0,0,0.71171875,,
