Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
1.2645064999999476,1000,,,,-0.0625,0.02775390625,-0.96396484375,-0.000036216089625394915,0.0009478232362739303,23.85664003330402,1.8967719418047753,0,0,45.25060697674316,0,0,0,0,0.05880859375,,
1.2783930000008643,1050,,,,-0.06314453125,0.02857421875,-0.9649609375,-0.00016505540980585434,0.0008791235380780504,23.863055702786554,1.9045963756682676,0,0,45.44948946451527,0,0,0,0,0.0627734375,,
7.6266242500008845,1088.8888888888903,,,,-0.06501953125,0.0345703125,-0.9760546875,0.000027530170950316713,0.003348320436233024,23.86062073083024,1.9656512236873775,2462,0,46.90165806847288,0.02712500365399285,0.057822020022272186,0.01501958779326338,0.00007139858036210058,0.10056640625,,
14.060996500000863,1127.77777777778,,,,-0.06845703125,0.03451171875,-0.976796875,-0.00011517428604654243,0.007579232182072588,23.859668228277407,2.0463506319421807,4345,0,48.825243281616025,0.10095424445828995,0.20664620889012297,0.03451508506951445,0.00015524206615609456,0.1155078125,,
20.46499005000087,1166.666666666668,,,,-0.0675,0.03638671875,-0.976171875,0.000008516945877377716,0.015131918140335104,23.855792206419142,2.144061374824769,6126,0,51.14828292373546,0.10266189724724581,0.20071828178112402,0.022149815742120164,0.0002958416183988062,0.19634765625,,
26.82528325000088,1205.5555555555582,,,,-0.065,0.03341796875,-0.97740234375,-0.00011958201698906979,0.0256005470236045,23.853690569423037,2.2767628918739518,7953,0,54.309199586227415,0.11604550240670579,0.21378558245153279,0.009271371124430923,0.00047138225513605964,0.2353515625,,
33.159838150000816,1244.4444444444418,,,,-0.0739453125,0.04203125,-0.9718359375,-0.00019173626861101735,0.039448426242118945,23.849085108391073,2.4326673269014325,9696,0,58.01689138037477,0.21478583175663954,0.37029223761696883,0.01255142873788391,0.0006799797091496088,0.2029296875,,
39.50879060000083,1283.3333333333314,,,,-0.0592578125,0.03046875,-0.98234375,0.00006270861906296443,0.05469598307885395,23.84494144813124,2.6125440892006706,11428,0,62.295964194494765,0.33003648550252135,0.5303651523955007,0.0083316969478362,0.0008780159664556648,0.2358984375,,
45.86587600000076,1322.22222222222,,,,-0.0700390625,0.0441015625,-0.96953125,0.00002029320892085719,0.07457528031795496,23.840780295309987,2.8570014626312314,13207,0,68.11317343885743,0.1763891333656306,0.2578038446621464,0,0.0010950517987102634,0.25251953125,,
52.268074750000885,1361.1111111111104,,,,-0.0655078125,0.03380859375,-0.98533203125,-0.000027932380503238973,0.09701345596275492,23.83428173800154,3.1105374852230074,14924,0,74.13743689125873,0.1741753274026101,0.23447928175656835,0,0.001308595781778517,0.2865625,,
58.668214350000774,1400,,,,-0.0709765625,0.03970703125,-0.97361328125,0.00014590516584837742,0.12298824236277078,23.827574849405003,3.4188181277374325,16710,0,81.4621450162116,0.2553906055190673,0.3135530647572801,0,0.0015097659579735275,0.3063671875,,
