Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
1.2434214999987745,1000,,,,-0.0626171875,0.027890625,-0.964140625,0,0,23.912518359983675,1.891815979429832,0,0,45.23808465983731,0,0,0,0,0.059140625,,
1.2692565999995176,1050,,,,-0.0634375,0.02849609375,-0.96357421875,0,0,23.91699976518861,1.9018989857945798,0,0,45.48771799397096,0,0,0,0,0.063671875,,
7.639825349999481,1088.8888888888903,,,,-0.0641015625,0.03759765625,-0.97638671875,0,0,23.917402453089597,1.9617342947658778,2421,0,46.91958875856568,0,0,0,0,0.09990234375,,
13.972946399999376,1127.77777777778,,,,-0.06208984375,0.0356640625,-0.9732421875,0,0,23.9165129928678,2.041165240494389,4353,0,48.817554978230184,0,0,0,0,0.10939453125,,
20.338722049999504,1166.666666666668,,,,-0.0675390625,0.03205078125,-0.98263671875,0,0,23.915474765512812,2.139825828905772,6148,0,51.1749508135793,0,0,0,0,0.2275,,
26.68387314999955,1205.5555555555582,,,,-0.07849609375,0.0394921875,-0.969140625,0,0,23.916257627773433,2.274744448669719,7945,0,54.40337739632849,0,0,0,0,0.2655078125,,
33.03653219999955,1244.4444444444418,,,,-0.0644921875,0.037578125,-0.9732421875,0,0,23.914952503344924,2.4281659526562582,9720,0,58.06947510010721,0,0,0,0,0.21052734375,,
39.38790169999957,1283.3333333333314,,,,-0.06837890625,0.0396484375,-0.97322265625,0,0,23.913274221838428,2.6116416102971174,11467,0,62.452901982971916,0,0,0,0,0.28697265625,,
45.75235244999964,1322.22222222222,,,,-0.0718359375,0.03537109375,-0.9724609375,0,0,23.9091022409828,2.8519311113698227,13239,0,68.18721539214447,0,0,0,0,0.24466796875,,
52.29080274999942,1361.1111111111104,,,,-0.06294921875,0.03109375,-0.97794921875,0,0,23.904385060972285,3.125358408024388,14957,0,74.70977227338676,0,0,0,0,0.29322265625,,
58.74710564999951,1400,,,,-0.07255859375,0.033671875,-0.97396484375,0,0,23.899680316004865,3.4065714268552085,16731,0,81.41596913656504,0,0,0,0,0.3113671875,,
